;Size;AUI;ALI;PIS;ALG;DET;LAR;HEM;BEM;NEK;SPI;MIM;AIR;JMP;ELC;ARM;PHY;BRY;DIU;CRE;NOC
Aca_cat;11.5;0.5;0;0.5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
Aeq_tet;16.2;0;0.4;0;0.4;0;0.2;0;1;1;1;0;0;0;0;0;0;0;1;0;0
Ana_sp;5.826086957;0.146448774;0.263230673;0.138529227;0.129604023;0.125707102;0.196480201;0;1;0;0;1;0;0;0;0;0;0;NA;NA;NA
Ana_uro;7;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0
Api_aga;4.2;0.222222222;0.222222222;0;0.111111111;0;0.444444444;0;1;1;1;0;0;0;0;0;0;0;1;0;0
Api_reg;5;0.333333333;0.222222222;0;0;0;0.444444444;0;1;1;1;0;0;0;0;0;0;0;1;0;0
Ast_bim;17.5;0.031708356;0.70446108;0.062260362;0.000182582;0.000547745;0.200839876;0;0;1;0;0;0;0;0;0;0;0;1;1;1
Bar_ste;9;0;1;0;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bat_ran;20;0.5;0;0.5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
Bra_bee;32;0.2;0;0;0;0;0.8;0;1;1;0;0;0;0;1;0;0;0;0;0;1
Bra_bre;34.7;0.2;0;0;0;0;0.8;0;1;1;0;0;0;0;1;0;0;0;0;0;1
Bra_sp.1;16.90740741;0.333333333;0;0;0;0;0.666666667;0;1;1;0;0;0;0;1;0;0;0;0;0;1
Bra_sp.2;16.90740741;0.333333333;0;0;0;0;0.666666667;0;1;1;0;0;0;0;1;0;0;0;0;0;1
Bra_sp.3;16.90740741;0.333333333;0;0;0;0;0.666666667;0;1;1;0;0;0;0;1;0;0;0;0;0;1
Bra_sp.4;16.90740741;0.333333333;0;0;0;0;0.666666667;0;1;1;0;0;0;0;1;0;0;0;0;0;1
Bry_cau;12.4;0;0.5;0;0;0;0.5;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Bry_sp.;9.335;0;0.666666667;0;0;0;0.333333333;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Bun_cor;11;0.5;0;0;0;0;0.5;0;1;0;0;0;0;0;0;1;0;0;0;1;1
Cal_cal;17;0.333333333;0;0;0;0.333333333;0.333333333;0;1;1;0;0;1;0;0;1;0;0;0;0;1
Car_str;3.5;0.100628931;0.899371069;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
Cha_eth;4.2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Cha_sp.;5.944444444;0.601089176;0.029271613;0;0.029271613;0;0.340367597;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Cha_zeb;7.4;0.423491513;0.006959072;0.007867674;0;0;0.561681741;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Cop_arn;3.4;0.15015015;0.351351351;0;0.099099099;0;0.399399399;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Cor_mel;5.1;0.25;0.25;0;0;0.25;0.25;0;1;1;1;0;1;0;0;1;0;0;1;0;0
Cor_sp;4.779747;0.256937307;0;0;0.5;0;0.243062693;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Cre_ret;21.6;0.5;0;0.5;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0
Cre_sax;20;0.333333333;0;0.333333333;0;0;0.333333333;0;1;1;1;0;0;0;0;0;1;0;1;0;0
Cre_spi;5.7;0.333333333;0.333333333;0;0;0;0.333333333;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Cur_cry;6.5;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0
Den_epa;4.7;0.5;0.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
Den_sp.;4.285714;0.5;0.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Eig_sp.;28.61667;0.333333333;0;0;0;0.333333333;0.333333333;0;1;1;0;0;0;0;1;0;0;0;0;0;1
